5220e817-3e8d-4af8-8f29-c48ffc748f62,High-Speed HDMI Cable,tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed,DEFECTUOSO,DISCO,INFORMATICA,7
8ff6ce90-778e-49af-9031-f79284f0187d,LED Flashlight with Rechargeable Batteries,sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus,PERFECTO,LABORATORIO,INFORMATICA,1
45f32262-469e-4dbe-b9aa-45eefb9f924d,Car Diagnostic Scanner,dictumst etiam faucibus cursus urna ut tellus nulla ut erat id,REGULAR,COMPONENTE,TELECOMUNICACIONES,6
6eede909-3369-4e5e-a135-cd0e42c7349c,Decorative Wall Tapestry,montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus,DEFECTUOSO,PERIFERICO,ADMINISTRATIVO,3
da413b37-852e-4b38-981e-100ef8318a9a,Vegetable Chips,ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio,REGULAR,CABLE,LABORATORIO,11
59177db0-2919-4f0d-9d59-243260946d0c,Hand Crank Blender,hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante,DEFECTUOSO,DISCO,INFORMATICA,1
730c1567-3636-417d-99d8-e05ea5d1390e,Luminous Night Light,maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis,PERFECTO,COMPONENTE,TELECOMUNICACIONES,1
cf961413-7940-4f06-a079-312c75f10317,Electric Griddle with Lid,tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum,BASURA,HERRAMIENTA,ADMINISTRATIVO,4
ec85b944-e0c9-46cc-a46d-84857ab24fab,Backpacking Tent,pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh,DEFECTUOSO,DISCO,ADMINISTRATIVO,9
d108b97e-9b4e-4080-af8c-6de91347bca7,Handmade Leather Wallet,non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet,PERFECTO,HERRAMIENTA,ADMINISTRATIVO,7
